index,date,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
166,2017-07-13,4,0,0,6.260773809523809,175.1,41759,223054,163,4,0,0,0.0011615949396994968,up
167,2017-07-14,11,0,0,5.769372687918143,628.1999999999998,106041,564883,641,6,1,4,0.004127990153057778,up
168,2017-07-17,3,0,0,6.108485838779956,169.39999999999998,34411,200762,175,2,0,1,-0.00014641471843869518,down
169,2017-07-18,5,0,0,5.522041950206656,385.86,77834,348392,405,3,0,2,0.0019260811706402023,up
170,2017-07-19,5,1,0,5.377085714285714,316.28000000000003,79147,313053,342,2,1,2,0.004050562981936764,up
171,2017-07-20,3,0,0,5.964393939393939,161.07999999999998,51938,226818,156,3,0,0,-0.0008523760077354903,down
172,2017-07-21,7,0,1,6.053431818181818,250.76000000000002,61796,279026,249,5,0,1,0.0020832200713931407,up
173,2017-07-24,9,0,0,5.225187183187184,450.64000000000004,152846,609894,500,2,3,4,-0.0008616879040768247,down
174,2017-07-25,19,0,0,5.584490220306011,1151.4099999999999,234521,1014336,1204,11,3,5,-0.00030267811008335315,down
175,2017-07-26,12,1,1,5.8125198713323725,713.5999999999999,206985,810963,722,9,0,3,-0.0008628705286851351,down
176,2017-07-27,10,1,0,5.633419354175237,619.01,125521,519606,645,7,2,1,-0.002956422678968445,down
177,2017-07-28,9,0,0,5.827165550498884,629.6,117189,541456,631,9,0,0,0.001206899971970662,up
178,2017-07-31,4,1,0,5.454147058823529,211.82,78431,318543,233,1,1,2,-0.0022778791628209954,down
179,2017-08-01,3,0,0,5.529932126696832,231.11,58557,274785,239,1,0,2,-0.0003027733924057194,down
180,2017-08-02,4,0,0,5.761041666666667,237.98000000000002,48271,225483,235,4,0,0,-0.0011328163960921858,down
181,2017-08-03,10,2,1,5.805345071595072,675.1700000000001,129009,537599,679,10,0,0,-0.0015630331436501071,down
182,2017-08-04,16,8,0,5.747079148384296,1043.28,218326,515529,1058,12,0,4,-2.0107959348972213e-05,down
183,2017-08-07,16,1,1,5.505924096736597,1142.96,220907,1011187,1202,7,2,7,0.001521924139469683,up
184,2017-08-08,8,4,0,5.25668108974359,356.65999999999997,98360,317144,400,2,1,5,-0.0013840562730697164,down
185,2017-08-09,11,6,0,5.29840576090576,508.25,133774,431626,558,3,3,4,0.0035167102664378025,up
186,2017-08-10,9,5,1,5.603570707070706,456.87,135472,332581,490,5,0,4,-0.011020582340007514,down
187,2017-08-11,8,4,0,5.5825391414141405,436.7399999999999,111556,294455,444,5,1,2,0.00011471708596583704,up
188,2017-08-14,9,1,1,5.528248307248306,590.02,123014,542279,622,4,1,4,0.0044318959057759975,up
189,2017-08-15,10,5,3,5.2444462481962475,470.83000000000004,100178,300183,508,3,3,4,-0.001640487205351478,down
190,2017-08-16,15,5,2,5.781456277056278,773.1000000000001,178955,663834,795,12,1,2,-0.0002105524216404529,down
191,2017-08-17,12,0,0,5.398370259370259,759.5999999999999,256195,1053449,823,6,3,3,-0.013374182039966305,down
192,2017-08-18,8,2,0,5.409152969987529,479.01000000000005,118294,477940,523,5,1,2,-0.0008608542008335192,down
193,2017-08-21,3,0,0,5.725723905723904,144.9,45603,209553,143,2,0,1,0.0011833094207381535,up
194,2017-08-22,8,1,0,6.02786544011544,383.26,80056,378508,373,8,0,0,0.0077082732408833956,up
195,2017-08-23,10,0,0,5.740143845108758,607.02,138868,631656,632,6,1,2,-0.0003435113544184003,down
196,2017-08-24,15,1,5,5.529303835978837,868.24,146247,553551,906,7,4,4,-0.00365207108160935,down
197,2017-08-25,14,2,0,5.561244644244645,947.2900000000001,148426,676700,991,10,2,2,-0.0006830729162477326,down
198,2017-08-28,4,4,1,5.31023088023088,188.20000000000005,68447,0,210,2,2,0,-0.0012708063315262773,down
199,2017-08-29,6,4,0,5.213666666666668,214.96000000000004,59134,187722,234,1,2,3,0.005904795491822491,up
200,2017-08-30,5,0,0,5.326215261862321,346.94000000000005,86677,438175,384,2,1,2,0.004713714594854931,up
201,2017-08-31,5,3,0,6.014770562770563,302.95,64508,190597,302,4,0,1,0.0036545998652471054,up
202,2017-09-01,7,0,1,5.819756029684602,456.24,108476,486834,461,7,0,0,0.0008608591375542207,up
203,2017-09-05,6,2,1,5.536468915343916,358.71999999999997,107802,359163,378,3,0,3,-0.005060011538494088,down
204,2017-09-06,8,1,0,5.503586551928464,480.06,90270,436346,504,5,2,1,0.0006940255398570637,up
205,2017-09-07,12,3,0,5.6330755524431995,650.76,111208,422318,678,7,1,4,-0.0011993067142779855,down
206,2017-09-08,8,0,0,5.442647727272727,525.8900000000001,113741,500190,567,5,2,1,-0.0003330563508985651,down
207,2017-09-11,2,0,0,6.574285714285715,46.02,44624,184152,44,1,0,0,0.005492009315002446,up
208,2017-09-12,5,1,0,5.912583638583638,301.15999999999997,61338,301423,302,3,0,2,0.001821889414468829,up
209,2017-09-13,3,0,0,5.451369806663924,224.51999999999998,41806,222316,244,1,1,1,0.0017964802746808202,up
210,2017-09-14,13,0,0,5.471625428869773,915.8699999999999,166971,818266,974,9,3,1,0.0004249478765507971,up
